Observations	YearOrd	Day	quantum	GroupCount	mean_MO	median_MO	numel_MO	std_MO	Fun5_MO	Fun6_MO	mean_Fco2_21m_nee_stat_int_Ustar	median_Fco2_21m_nee_stat_int_Ustar	numel_Fco2_21m_nee_stat_int_Ustar	std_Fco2_21m_nee_stat_int_Ustar	Fun5_Fco2_21m_nee_stat_int_Ustar	Fun6_Fco2_21m_nee_stat_int_Ustar	mean_Fco2_21m_nee_stat_int	median_Fco2_21m_nee_stat_int	numel_Fco2_21m_nee_stat_int	std_Fco2_21m_nee_stat_int	Fun5_Fco2_21m_nee_stat_int	Fun6_Fco2_21m_nee_stat_int	mean_w_h2o_21m	median_w_h2o_21m	numel_w_h2o_21m	std_w_h2o_21m	Fun5_w_h2o_21m	Fun6_w_h2o_21m	mean_w_h2o_21m_Ustar	median_w_h2o_21m_Ustar	numel_w_h2o_21m_Ustar	std_w_h2o_21m_Ustar	Fun5_w_h2o_21m_Ustar	Fun6_w_h2o_21m_Ustar	mean_q	median_q	numel_q	std_q	Fun5_q	Fun6_q
1998_305_night	1998	305	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	28	0	0	0
1998_305_day	1998	305	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_306_night	1998	306	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	28	0	0	0
1998_306_day	1998	306	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_307_night	1998	307	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	28	0	0	0
1998_307_day	1998	307	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_308_night	1998	308	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	-0.018	0.132	12	0.368968833372143	-0.1325	0.2125	0.055	0.15	6	0.355781393555087	0.055	0.243	0	0	28	0	0	0
1998_308_day	1998	308	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.7644	0.737	10	0.548293149490104	0.335	0.967	0.7644	0.737	10	0.548293149490104	0.335	0.967	1	1	20	0	1	1
1998_309_night	1998	309	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.239214285714286	0.1615	14	0.211074969755163	0.056	0.348	0.268083333333333	0.2345	12	0.214436877058085	0.067	0.426	0	0	28	0	0	0
1998_309_day	1998	309	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.1175	0.1175	2	0.0855599205235722	0.057	0.178	0.1175	0.1175	2	0.0855599205235722	0.057	0.178	1	1	20	0	1	1
1998_310_night	1998	310	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.280461538461538	0.407	13	0.563014744535259	-0.23575	0.6865	0.4022	0.5155	10	0.585985930813284	-0.206	0.706	0	0	28	0	0	0
1998_310_day	1998	310	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.900076923076923	0.96	13	0.589189197335126	0.3735	1.41	0.900076923076923	0.96	13	0.589189197335126	0.3735	1.41	1	1	20	0	1	1
1998_311_night	1998	311	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.146181818181818	-0.041	11	0.441905604893583	-0.19925	0.45675	0.658333333333333	0.674	3	0.252864258710743	0.467	0.84575	0	0	28	0	0	0
1998_311_day	1998	311	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	2.4048	2.795	10	1.58378855210466	0.809	3.44	2.4048	2.795	10	1.58378855210466	0.809	3.44	1	1	20	0	1	1
1998_312_night	1998	312	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	28	0	0	0
1998_312_day	1998	312	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1	1	20	0	1	1
1998_313_night	1998	313	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	2.36278571428571	1.935	14	1.29629449280937	1.52	2.86	2.36278571428571	1.935	14	1.29629449280937	1.52	2.86	0	0	28	0	0	0
1998_313_day	1998	313	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.33025	1.42	12	0.704801729050608	1.028	1.855	1.33025	1.42	12	0.704801729050608	1.028	1.855	1	1	20	0	1	1
1998_314_night	1998	314	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	2.3125	2.37	12	0.406025637345498	2.115	2.655	2.3125	2.37	12	0.406025637345498	2.115	2.655	0	0	28	0	0	0
1998_314_day	1998	314	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.25	1.25	1	0	1.25	1.25	1.25	1.25	1	0	1.25	1.25	1	1	20	0	1	1
1998_315_night	1998	315	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0842857142857143	0.0245	14	0.156842119819424	-0.008	0.153	0.0842857142857143	0.0245	14	0.156842119819424	-0.008	0.153	0	0	28	0	0	0
1998_315_day	1998	315	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.720307692307692	0.649	13	0.350792765179905	0.41375	0.98925	0.720307692307692	0.649	13	0.350792765179905	0.41375	0.98925	1	1	20	0	1	1
1998_316_night	1998	316	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.608428571428572	0.2945	28	0.657509804381001	0.0465	1.19	0.67264	0.501	25	0.667967868488697	0.04075	1.2875	0	0	28	0	0	0
1998_316_day	1998	316	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.7898125	0.7685	16	0.416551272354317	0.555	1.155	0.844266666666667	0.77	15	0.36752676611306	0.61525	1.1825	1	1	20	0	1	1
1998_317_night	1998	317	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.859892857142857	0.864	28	0.516157551262081	0.458	1.24	0.859892857142857	0.864	28	0.516157551262081	0.458	1.24	0	0	28	0	0	0
1998_317_day	1998	317	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.664105263157895	0.661	19	0.51845410112252	0.399	1.05	0.664105263157895	0.661	19	0.51845410112252	0.399	1.05	1	1	20	0	1	1
1998_318_night	1998	318	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.416892857142857	0.4435	28	0.399795164153374	0.0235	0.667	0.416892857142857	0.4435	28	0.399795164153374	0.0235	0.667	0	0	28	0	0	0
1998_318_day	1998	318	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.1774	0.119	20	0.202183970419855	0.0645	0.258	0.1774	0.119	20	0.202183970419855	0.0645	0.258	1	1	20	0	1	1
1998_319_night	1998	319	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.917464285714286	0.8285	28	0.727084511983399	0.309	1.31	0.917464285714286	0.8285	28	0.727084511983399	0.309	1.31	0	0	28	0	0	0
1998_319_day	1998	319	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.60085	1.61	20	0.544142326099185	1.23	1.99	1.60085	1.61	20	0.544142326099185	1.23	1.99	1	1	20	0	1	1
1998_320_night	1998	320	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.585071428571428	0.3695	28	0.617781990107827	0.073	0.982	0.693434782608696	0.74	23	0.631809078331778	0.124	1.075	0	0	28	0	0	0
1998_320_day	1998	320	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.882846153846154	0.888	13	0.43272178247188	0.53325	1.1525	0.882846153846154	0.888	13	0.43272178247188	0.53325	1.1525	1	1	20	0	1	1
1998_321_night	1998	321	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.31264	0.049	25	0.792045709960395	0.00775	0.1835	0.538928571428571	0.167	14	1.01517489696533	0.049	0.49	0	0	28	0	0	0
1998_321_day	1998	321	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0.55845	0.7025	20	0.380504025153341	0.147	0.888	0.654529411764706	0.832	17	0.326229619602332	0.405	0.90625	1	1	20	0	1	1
1998_322_night	1998	322	night	28	11	11	28	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.24656	0.993	25	1.2328867912343	0.3545	2.1175	1.39265217391304	1.3	23	1.17051917807657	0.368	2.2525	0	0	28	0	0	0
1998_322_day	1998	322	day	20	11	11	20	0	11	11	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	1.88838888888889	2.12	18	0.761630846113545	1.26	2.44	1.88838888888889	2.12	18	0.761630846113545	1.26	2.44	1	1	20	0	1	1
1998_323_night	1998	323	night	28	11	11	28	0	11	11	0.642153846153846	0.653	26	0.428244387452557	0.341	0.968	0.642153846153846	0.653	26	0.428244387452557	0.341	0.968	0.436821428571429	0.3825	28	0.441373869703614	0.231	0.769	0.491192307692308	0.403	26	0.384590277488214	0.249	0.834	0	0	28	0	0	0
